Part No.,Name,Category,Regular Price,Selling Price,Brand,Origin,Quantity,Highlights,Description,Short Description,Delivery Days
001-TS0769-90MM,Flange TTMA 91mm 10mm AL 5083-H116,Tank,68,68,TSL,New Zealand,15,NZ manufacture; great quality; realistic cost," 91mm 10mm AL 5083-H116",Flange TTMA,2
001-TS0769S-550,Flange TTMA 100mm 12mm MS,Tank,75.23,75.23,TSL,New Zealand,10,NZ manufacture; great quality; realistic cost," 100mm 12mm MS",Flange TTMA,2
001-TS0813-996/,Label - Master Valve Push to,Tank,58.17,58.17,TSL,New Zealand,41,NZ manufacture; great quality; realistic cost,Label - Master Valve Push to,Label,2
001-TS0815-996,Label - Bonding Point - Engraved,Tank,20.77,20.77,TSL,New Zealand,12,NZ manufacture; great quality; realistic cost,Label - Bonding Point - Engraved,Label,2
001-TS0817-849,Label Up = Close - Down = Open,Tank,16.4,16.4,TSL,New Zealand,0,NZ manufacture; great quality; realistic cost,Label Up = Close - Down = Open,Label,
001-TS0817-996/,Label - Up = Close Down = Open (engraved),Tank,13.54,13.54,TSL,New Zealand,15,NZ manufacture; great quality; realistic cost,Label - Up = Close Down = Open (engraved),Label,2
001-TS0818-996,Label - Hand Rail - Up - Down - Engraved,Tank,17.88,17.88,TSL,New Zealand,7,NZ manufacture; great quality; realistic cost,Label - Hand Rail - Up - Down - Engraved,Label,2
001-TS0822-996,Label - Diesel Pump Speed,Tank,35.54,35.54,TSL,New Zealand,27,NZ manufacture; great quality; realistic cost,Label - Diesel Pump Speed,Label,2
001-TS0823-996,Label - Hydraulic Pump Control,Tank,0,0,TSL,New Zealand,5,NZ manufacture; great quality; realistic cost,Label - Hydraulic Pump Control,Label,2
100-TD0001,Ferry Hook Tie Down SAF Axle Brake 10mm MS G250,Other,122.68,122.68,,,34,,,,
2000-30SK-NEW,Spill Kit 30L (New Style) - Allfluid,Tank,335,335,TSL,New Zealand,14,NZ manufacture; great quality; realistic cost,Spill Kit 30L (New Style) - Allfluid,Spill Kit,2
2000-50SK-01,Spill Kit 50L Main Bag NZDF,Tank,500.49,500.49,TSL,New Zealand,0,NZ manufacture; great quality; realistic cost,Spill Kit 50L Main Bag NZDF,Spill Kit,
2000-50SK-02,Spill Kit 50L Secondary Bag NZDF,Tank,354.01,354.01,TSL,New Zealand,0,NZ manufacture; great quality; realistic cost,Spill Kit 50L Secondary Bag NZDF,Spill Kit,
2000-634BK50AL-867/,Dust Cap 50mm w/ Locking Arms,Tank,76.81,76.81,TSL,New Zealand,6,NZ manufacture; great quality; realistic cost,Dust Cap 50mm w/ Locking Arms,Dust Cap,2
2000-634BK65AL/,Dust Cap 65mm w/ Locking Arms,Tank,77.12,77.12,TSL,New Zealand,25,NZ manufacture; great quality; realistic cost,Dust Cap 65mm w/ Locking Arms,Dust Cap,2
2000-634BK80AL/,Dust Cap 76mm w/ Locking Arms,Tank,82.94,82.94,TSL,New Zealand,6,NZ manufacture; great quality; realistic cost,Dust Cap 76mm w/ Locking Arms,Dust Cap,2
2000-AF2000MW/,Manway 2000 Series - Allfluid,Tank,2204.361,2204.361,TSL,New Zealand,14,NZ manufacture; great quality; realistic cost,Manway 2000 Series - Allfluid,Manway,2
2000-CN21040,Hex Nut M10x40 Clampband Manway,Tank,6.93,6.93,TSL,New Zealand,46,NZ manufacture; great quality; realistic cost,Hex Nut M10x40 Clampband Manway,Hex Nut,2
2000-CRA-620/,Coaming Round Aluminium Manway 2000,Tank,486.338,486.338,TSL,New Zealand,18,NZ manufacture; great quality; realistic cost,Coaming Round Aluminium Manway 2000,Coaming Round,2
2000-NV3000E-777/,Vent Pressure and Vacuum,Other,275.33,275.33,,,0,,,,
2000-P1008,Product Indicator - 8 Sided Blank - Allfluid,Tank,156.6815,156.6815,TSL,New Zealand,39,NZ manufacture; great quality; realistic cost,Product Indicator - 8 Sided Blank - Allfluid,Product Indicator,2
2000-P1008-12,Product Indicator - 12 sided Blank - Allfluid,Tank,173.926,173.926,TSL,New Zealand,19,NZ manufacture; great quality; realistic cost,Product Indicator - 12 sided Blank - Allfluid,Product Indicator,2
2000-TS0002,DB Coupler - 4 x 2 - Allfluid,Pumping,841,841,TSL,New Zealand,2,NZ manufacture; great quality; realistic cost,DB Coupler - 4 x 2 - Allfluid,DB Coupler,2
2000-TS0003,DB Coupler - 4 x 3 - Allfluid,Pumping,841,841,TSL,New Zealand,7,NZ manufacture; great quality; realistic cost,DB Coupler - 4 x 3 - Allfluid,DB Coupler,2
2000-TS0005,DB Coupler Seal Kit (fit TSL) - Allfluid,Pumping,124.7,124.7,TSL,New Zealand,8,NZ manufacture; great quality; realistic cost,DB Coupler Seal Kit (fit TSL) - Allfluid,DB Coupler,2
2000-TS0006,DB Coupler Recon Kit (fit TSL) - Allfluid,Pumping,163.754,163.754,TSL,New Zealand,3,NZ manufacture; great quality; realistic cost,DB Coupler Recon Kit (fit TSL) - Allfluid,DB Coupler,2
2000-TS0606-02,Nozzle Holster ZVA Double Allfluid,Other,224.475,224.475,,,0,,,,
2000-TS190-719/,Seal Hatch Vent Manway 2000,Tank,57.78,57.78,TSL,New Zealand,76,NZ manufacture; great quality; realistic cost,Seal Hatch Vent Manway 2000,Seal Hatch,2
2000-TS440-719/,Seal - Coaming 2000 Manway,Tank,141.58,141.58,TSL,New Zealand,61,NZ manufacture; great quality; realistic cost,Seal - Coaming 2000 Manway,,2
2000-ZSW25X25,Z Swivel 25mm ZVA - Allfluid,Pumping,594,594,TSL,New Zealand,12,NZ manufacture; great quality; realistic cost,Z Swivel 25mm ZVA - Allfluid,Z Swivel,2
2000-ZSW32X32,Z Swivel 32mm ZVA - Allfluid,Pumping,594,594,TSL,New Zealand,16,NZ manufacture; great quality; realistic cost,Z Swivel 32mm ZVA - Allfluid,Z Swivel,2
2000-ZSW32X32-DHE,Z Swivel 32mm Double Hose End - Allfluid,Pumping,594,594,TSL,New Zealand,0,NZ manufacture; great quality; realistic cost,Z Swivel 32mm Double Hose End - Allfluid,Z Swivel,
302-001-996/,Label Battery Other Side (Refl,Chassis,25.16,25.16,TSL,New Zealand,27,NZ manufacture; great quality; realistic cost,Label Battery Other Side (Refl,"Label ",2
302-001-997/,Label Battery Other Side,Chassis,6.2525,6.2525,TSL,New Zealand,24,NZ manufacture; great quality; realistic cost,Label Battery Other Side,"Label ",2
302-002-996/,Label Battery Side Self Adhesi,Chassis,12.5255,12.5255,TSL,New Zealand,21,NZ manufacture; great quality; realistic cost,Label Battery Side Self Adhesi,"Label ",2
302-002-997/,Label Battery Side Self Adhesi,Chassis,6.2525,6.2525,TSL,New Zealand,46,NZ manufacture; great quality; realistic cost,Label Battery Side Self Adhesi,"Label ",2
302-003-996,Label Bulk Nozzle-Left Adhesive,Chassis,18.15275,18.15275,TSL,New Zealand,4,NZ manufacture; great quality; realistic cost,Label Bulk Nozzle-Left Adhesive,"Label ",2
302-004-996,Label Bulk Nozzle-Right Engrav,Chassis,7.30825,7.30825,TSL,New Zealand,5,NZ manufacture; great quality; realistic cost,Label Bulk Nozzle-Right Engrav,"Label ",2
302-005-996,Label DG 3 Flammable Diamond Large,Tank,151.95,151.95,TSL,New Zealand,7,NZ manufacture; great quality; realistic cost,Label DG 3 Flammable Diamond Large,"Label ",2
302-006-996,Label DG 3 Flammable Diamond Small,Tank,45.92,45.92,TSL,New Zealand,8,NZ manufacture; great quality; realistic cost,Label DG 3 Flammable Diamond Small,"Label ",2
302-007-996,Label Hazchem 3YE U.N.No 1203 Large,Tank,108.22,108.22,TSL,New Zealand,3,NZ manufacture; great quality; realistic cost,Label Hazchem 3YE U.N.No 1203 Large,"Label ",2
600-EA318,"Swivel G ZVA32 1 1/2"" Male",Pumping,374.66,374.66,Elaflex,Germany,0,Made in Germany; the best quality available,"Swivel G ZVA32 1 1/2"" Male","Swivel ",
600-EA318.4,"Swivel RM ZVA25 1 1/4"" Female",Pumping,444.92,444.92,Elaflex,Germany,0,Made in Germany; the best quality available,"Swivel RM ZVA25 1 1/4"" Female","Swivel ",
600-HD-25-C,Hose 25mm Aviation Refuel Yellow Band,Pumping,94.85,94.85,Elaflex,Germany,0,Made in Germany; the best quality available,Hose 25mm Aviation Refuel Yellow Band,Hose 25mm,
600-HD-32-C,Hose 32mm Avaition Refuel Yellow Band,Pumping,108.37,108.37,Elaflex,Germany,0,Made in Germany; the best quality available,Hose 32mm Avaition Refuel Yellow Band,Hose 32mm,
